CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|CODIGO_FILIAL|NOMBRE_FILIAL|DEPARTAMENTO_FILIAL|PROVINCIA_FILIAL|CODIGO_LOCAL|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION|TIPO_AUTORIZACION_LOCAL|DENOMINACION_PROGRAMA|TIPO_NIVEL_ACADEMICO|NIVEL_ACADEMICO|CODIGO_CLASE_PROGRAMA_N2|NOMBRE_CLASE_PROGRAMA_N2|TIPO_AUTORIZACION_PROGRAMA|TIPO_AUTORIZACION_PROGRAMA_LOCAL
010|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|PÚBLICO|LICENCIA OTORGADA|6|S|UNCP-JUNÍN|JUNÍN|HUANCAYO|SL01|JUNÍN|HUANCAYO|EL TAMBO|-12.0330464|-75.237332|AUTORIZADO POR LIC.|MAESTRÍA EN ADMINISTRACIÓN MENCIÓN MARKETING Y GESTIÓN DE NEGOCIOS INTERNACIONALES|POSGRADO|MAESTRÍA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
049|UNIVERSIDAD MARCELINO CHAMPAGNAT|PRIVADO|LICENCIA OTORGADA|6|S|UMCH-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SANTIAGO DE SURCO|-12.1363972|-77.0057685|AUTORIZADO POR LIC.|COMPLEMENTACIÓN ACADÉMICA|PREGRADO|CARRERA PROFESIONAL|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL03|LIMA|LIMA|SAN ISIDRO|-12.091066|-77.052041|AUTORIZADO POR LIC.|PSICOLOGÍA DE LA SALUD|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
042|UNIVERSIDAD NACIONAL DEL SANTA|PÚBLICO|LICENCIA OTORGADA|6|S|UNS-ÁNCASH|ÁNCASH|SANTA|SL01|ÁNCASH|SANTA|NUEVO CHIMBOTE|-9.1195533|-78.5133704|DECLARADO|SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA MENCIÓN CUIDADO INTEGRAL INFANTIL: CRECIMIENTO Y DESARROLLO|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
012|UNIVERSIDAD NACIONAL DEL ALTIPLANO|PÚBLICO|LICENCIA OTORGADA|6|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|DOCTORADO EN CIENCIA, TECNOLOGÍA Y MEDIO AMBIENTE|POSGRADO|DOCTORADO|52|MEDIO AMBIENTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
046|UNIVERSIDAD PRIVADA ANTENOR ORREGO|PRIVADO|LICENCIA OTORGADA|6|S|UPAO-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1270487|-79.0314756|AUTORIZADO POR LIC.|PSIQUIATRÍA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
068|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UCS-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.1194134|-77.0261271|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD EN RADIOLOGÍA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
046|UNIVERSIDAD PRIVADA ANTENOR ORREGO|PRIVADO|LICENCIA OTORGADA|6|F01|UPAO-PIURA|PIURA|PIURA|F01L01|PIURA|PIURA|PIURA|-5.1782884|-80.6548882|AUTORIZADO POR LIC.|INGENIERÍA CIVIL|PREGRADO|CARRERA PROFESIONAL|73|ARQUITECTURA Y CONSTRUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
071|UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE|PRIVADO|LICENCIA OTORGADA|6|F02|UCSS-UCAYALI|UCAYALI|ATALAYA|F02L01|UCAYALI|ATALAYA|RAYMONDI|-10.7299969|-73.7556001|AUTORIZADO POR LIC.|INGENIERÍA AGRARIA CON MENCIÓN FORESTAL|PREGRADO|CARRERA PROFESIONAL|82|SILVICULTURA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
034|UNIVERSIDAD NACIONAL DE SAN MARTÍN|PÚBLICO|LICENCIA OTORGADA|6|S|UNSM-SAN MARTÍN|SAN MARTÍN|SAN MARTÍN|SL02|SAN MARTÍN|SAN MARTÍN|MORALES|-6.484769492|-76.37760713|AUTORIZADO POR LIC.|DOCTORADO EN CIENCIAS DE LA EDUCACIÓN|POSGRADO|DOCTORADO|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
068|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UCS-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|VILLA EL SALVADOR|-12.2215281|-76.9766998|AUTORIZADO POR LIC.|ENFERMERÍA|PREGRADO|CARRERA PROFESIONAL|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
008|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|PRIVADO|LICENCIA OTORGADA|10|S|PUCP-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SAN MIGUEL|-12.0693438|-77.080122|AUTORIZADO POR LIC.|DOCTORADO EN HISTORIA|POSGRADO|DOCTORADO|22|HUMANIDADES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN PSIQUIATRÍA COMUNITARIA Y SOCIAL|POSGRADO|SEGUNDA ESPECIALIDAD|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
012|UNIVERSIDAD NACIONAL DEL ALTIPLANO|PÚBLICO|LICENCIA OTORGADA|6|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|MAESTRÍA EN EDUCACIÓN MENCIÓN EN EDUCACIÓN INTERCULTURAL BILINGÜE|POSGRADO|MAESTRÍA|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
007|UNIVERSIDAD NACIONAL AGRARIA LA MOLINA|PÚBLICO|LICENCIA OTORGADA|8|S|UNALM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LA MOLINA|-12.0817493|-76.9431895|AUTORIZADO POR LIC.|INGENIERÍA EN GESTIÓN EMPRESARIAL|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
015|UNIVERSIDAD CATÓLICA DE SANTA MARÍA|PRIVADO|LICENCIA OTORGADA|6|S|UCSM-AREQUIPA|AREQUIPA|AREQUIPA|SL02|AREQUIPA|AREQUIPA|AREQUIPA|-16.4048982|-71.5498378|AUTORIZADO POR LIC.|MAESTRÍA EN SALUD OCUPACIONAL Y DEL MEDIO AMBIENTE|POSGRADO|MAESTRÍA|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
005|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|PÚBLICO|LICENCIA OTORGADA|10|S|UNSA-AREQUIPA|AREQUIPA|AREQUIPA|SL02|AREQUIPA|AREQUIPA|AREQUIPA|-16.4086078|-71.5285764|AUTORIZADO POR LIC.|CIENCIAS DE LA COMUNICACIÓN CON ESPECIALIDAD EN PERIODISMO|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
013|UNIVERSIDAD NACIONAL DE PIURA|PÚBLICO|LICENCIA OTORGADA|6|S|UNP-PIURA|PIURA|PIURA|SL01|PIURA|PIURA|CASTILLA|-5.179311|-80.6188325|AUTORIZADO POR LIC.|MAESTRÍA EN SALUD PÚBLICA CON MENCIÓN EN EDUCACIÓN MÉDICA|POSGRADO|MAESTRÍA|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
015|UNIVERSIDAD CATÓLICA DE SANTA MARÍA|PRIVADO|LICENCIA OTORGADA|6|S|UCSM-AREQUIPA|AREQUIPA|AREQUIPA|SL01|AREQUIPA|AREQUIPA|AREQUIPA|-16.4061786|-71.5476298|AUTORIZADO POR LIC.|ENFERMERÍA EN PEDIATRÍA|POSGRADO|SEGUNDA ESPECIALIDAD|92|BIENESTAR|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PÚBLICO|LICENCIA OTORGADA|10|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|CIENCIAS DE LA GESTIÓN ECONÓMICO EMPRESARIAL|POSGRADO|MAESTRÍA|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UPN-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL03|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.0950664|-79.0498645|AUTORIZADO POR LIC.|INGENIERÍA AMBIENTAL|PREGRADO|CARRERA PROFESIONAL|52|MEDIO AMBIENTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|PSICOLOGÍA ESCOLAR Y PROBLEMAS DE APRENDIZAJE|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F07|UPCV-SAN MARTÍN|SAN MARTÍN|MOYOBAMBA|F07L03|SAN MARTÍN|MOYOBAMBA|MOYOBAMBA|-6.032752051|-76.97476265|AUTORIZADO POR LIC.|DERECHO|PREGRADO|CARRERA PROFESIONAL|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
061|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|PRIVADO|LICENCIA OTORGADA|6|S|UPNW-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0697607|-77.0374712|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD EN GESTIÓN DE SERVICIOS DE SALUD Y ENFERMERÍA|POSGRADO|SEGUNDA ESPECIALIDAD|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PÚBLICO|LICENCIA OTORGADA|10|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|COMPUTACIÓN E INFORMÁTICA|POSGRADO|SEGUNDA ESPECIALIDAD|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
006|UNIVERSIDAD NACIONAL DE INGENIERÍA|PÚBLICO|LICENCIA OTORGADA|10|S|UNI-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|RÍMAC|-12.0220074|-77.0493646|AUTORIZADO POR LIC.|MAESTRÍA EN CIENCIAS EN INGENIERÍA DE SISTEMAS|POSGRADO|MAESTRÍA|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA EN SALUD OCUPACIONAL|POSGRADO|SEGUNDA ESPECIALIDAD|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
054|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UPC-LIMA|LIMA|LIMA|SL07|LIMA|LIMA|SAN MIGUEL|-12.0810086|-77.0707359|AUTORIZADO POR LIC.|DISEÑO PROFESIONAL DE INTERIORES|PREGRADO|CARRERA PROFESIONAL|21|ARTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F02|UPN-LIMA|LIMA|LIMA|F02L01|LIMA|LIMA|LOS OLIVOS|-11.9646093|-77.0675632|AUTORIZADO POR LIC.|COMUNICACIÓN AUDIOVISUAL EN MEDIOS DIGITALES|PREGRADO|CARRERA PROFESIONAL|21|ARTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
019|UNIVERSIDAD DE SAN MARTÍN DE PORRES|PRIVADO|LICENCIA OTORGADA|6|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|NEUROCIRUGÍA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
061|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|PRIVADO|LICENCIA OTORGADA|6|S|UPNW-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0697607|-77.0374712|AUTORIZADO POR LIC.|TECNOLOGÍA MÉDICA EN LABORATORIO CLÍNICO Y ANATOMÍA PATOLÓGICA|PREGRADO|CARRERA PROFESIONAL|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
065|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F05|UTP-ICA|ICA|ICA|F05L01|ICA|ICA|ICA|-14.07546|-75.7341811|AUTORIZADO POR LIC.|INGENIERÍA INDUSTRIAL|PREGRADO|CARRERA PROFESIONAL|72|INDUSTRIA Y PRODUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
004|UNIVERSIDAD NACIONAL DE TRUJILLO|PÚBLICO|LICENCIA OTORGADA|8|S|UNT-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1142716|-79.0383735|AUTORIZADO POR LIC.|TURISMO|PREGRADO|CARRERA PROFESIONAL|01|SERVICIOS PERSONALES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
027|UNIVERSIDAD NACIONAL DEL CALLAO|PÚBLICO|LICENCIA OTORGADA|6|S|UNC-CALLAO|CALLAO|PROV. CONST. DEL CALLAO|SL01|CALLAO|PROV. CONST. DEL CALLAO|BELLAVISTA|-12.0612769|-77.1173082|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA EN CRECIMIENTO, DESARROLLO DEL NIÑO Y ESTIMULACIÓN DE LA PRIMERA INFANCIA|POSGRADO|SEGUNDA ESPECIALIDAD|92|BIENESTAR|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
019|UNIVERSIDAD DE SAN MARTÍN DE PORRES|PRIVADO|LICENCIA OTORGADA|6|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|CIRUGÍA PEDIÁTRICA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F05|UPCV-LIMA|LIMA|LIMA|F05L03|LIMA|LIMA|ATE|-12.0228788|-76.9105401|AUTORIZADO POR LIC.|ADMINISTRACIÓN|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PÚBLICO|LICENCIA OTORGADA|10|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|INGENIERÍA GEOGRÁFICA|PREGRADO|CARRERA PROFESIONAL|53|CIENCIAS FÍSICAS Y QUÍMICAS|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
069|UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO|PRIVADO|LICENCIA OTORGADA|6|S|UCSTM-LAMBAYEQUE|LAMBAYEQUE|CHICLAYO|SL01|LAMBAYEQUE|CHICLAYO|CHICLAYO|-6.760456|-79.863203|AUTORIZADO POR LIC.|MAESTRÍA EN INGENIERÍA INDUSTRIAL CON MENCIÓN EN GESTIÓN DE OPERACIONES Y LOGÍSTICA|POSGRADO|MAESTRÍA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
019|UNIVERSIDAD DE SAN MARTÍN DE PORRES|PRIVADO|LICENCIA OTORGADA|6|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|ENFERMERÍA EN SALUD PÚBLICA|POSGRADO|SEGUNDA ESPECIALIDAD|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|MAESTRÍA EN MEDICINA|POSGRADO|MAESTRÍA|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
019|UNIVERSIDAD DE SAN MARTÍN DE PORRES|PRIVADO|LICENCIA OTORGADA|6|S|USMP-LIMA|LIMA|LIMA|SL06|LIMA|LIMA|SURQUILLO|-12.1052364|-77.0177466|AUTORIZADO POR LIC.|RELACIONES PÚBLICAS|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
030|UNIVERSIDAD RICARDO PALMA|PRIVADO|LICENCIA OTORGADA|6|S01|URP-LIMA|LIMA|LIMA|S01L01|LIMA|LIMA|SANTIAGO DE SURCO|-12.1318458|-76.9796463|AUTORIZADO POR LIC.|ESPECIALIDAD: MEDICINA NUCLEAR|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
016|UNIVERSIDAD NACIONAL DE CAJAMARCA|PÚBLICO|LICENCIA OTORGADA|6|S01|UNC-CAJAMARCA|CAJAMARCA|CAJAMARCA|S01L01|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.167159|-78.4965043|AUTORIZADO POR LIC.|MEDICINA OCUPACIONAL Y DEL MEDIO AMBIENTE|POSGRADO|SEGUNDA ESPECIALIDAD|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
046|UNIVERSIDAD PRIVADA ANTENOR ORREGO|PRIVADO|LICENCIA OTORGADA|6|S|UPAO-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1270487|-79.0314756|AUTORIZADO POR LIC.|PEDIATRÍA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
002|UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA|PÚBLICO|LICENCIA OTORGADA|6|S|UNSCH-AYACUCHO|AYACUCHO|HUAMANGA|SL01|AYACUCHO|HUAMANGA|AYACUCHO|-13.1612654|-74.2257339|AUTORIZADO POR LIC.|MAESTRÍA EN GERENCIA DE SERVICIOS DE SALUD|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
012|UNIVERSIDAD NACIONAL DEL ALTIPLANO|PÚBLICO|LICENCIA OTORGADA|6|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|MAESTRÍA EN CONTABILIDAD Y ADMINISTRACIÓN MENCIÓN EN MARKETING Y NEGOCIOS INTERNACIONALES|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
